ss,en,src_text,trg_text,Cosine_Score
[0.62519366 0.34658724 2.562287   ... 0.91224355 0.91338617 2.0833993 ],[0.02475235 0.0237747  0.00288152 ... 0.02600817 0.04419773 0.05415012],"nasekudvonswe umtselo yanyuka kusukela ku-R23,686 nga-1994 yaya ku-R33,660 nga-2015 kumuntfu ngamunye (kukhula kwa-42%), samba sesisonkhe sebantfu labasebentako saphindzeka kabili kusukela etigidzini leti-nga-1994 saya etigidzini leti-1nga-2015; labo labafinyelele kutfola tindlu banyuka nga-13 kusukela nga-1996 kuya ku-2016; lizinga lekubhalisa kuyofundza emanyuvesi lenyuke nga-28 kusuka elinanini le-211,756 kuya elinani leli-807,663 nga-2014; linani lelisha lekusuleleka nge-HIV lehlile kusukela ku-646,806 nga-1999 laya ku-321,497 nga-2015; kube nekwenyuka nga-6 kwetingcweti tekunakekela ngetemphilo kumkhakha wahulumende emkhatsini wa-2000 kuya ku-2015; kwase kutsi lizinga lekubulala lehla nga-4 kusukela nga-1994.Loku kukhombisa kutsi nanome kunetinsayeya, timphilo tebantfu baseNingizimu Afrika tibe ncono kuleminyaka lengemashumi lamabili leyengcil IKhabhinethi ikhutsata yonkhe imikhakha yesive kutsi ichubeke yakhe kuloko lokuchubela sive sakitsi embili kusukela sacala umbuso wentsandvo yelinyent Kukhona lokuhle lokunyenti kwalelive kunaloko lokubKufezekisa kusebenta kweluhlelo lwaHulumende lwekusebenta:.","The Global Entrepreneurship Week was launched in Johannesburg last Friday by Deputy President, Cyril Ramaphosa, supported by Minister Lindiwe Zul It is taking place from 14 to 20 November 2016, and is the largest gathering of innovators and entrepreneurs who launch start-ups by bringing ideas to life, driving economic growth and stimulating socio-economic developmen Cabinet recognises business and social partners in bringing GEW to South Africa, namely the Gauteng Provincial Government, City of Johannesburg, Hollard, Microsoft, IDC, SABS, SAB, SEA Africa, the Global Entrepreneurship Network and the Kauffman Foundatio Over 80 partner events will take place during this perio The GEW is a lead-up to the Global Entrepreneurship Congress (GEC) which will be hosted for the first time on the African continent in Johannesburg during March 2017, where over 5 000 delegates from 160 countries are expected to atten.",0.809343
"[ 0.5294642  -0.05446172  0.4868837  ...  1.3736717   1.1973604
  1.9187927 ]",[0.01965278 0.00041549 0.01908131 ... 0.01420643 0.01224785 0.05428424],"Liviki Lavelonkhe Lembizo lesihlanu lahulumende belibanjwe kusukela mhla ti-07 kuya kumhla ti-13 Lweti 2016 ngaphasi kwengcikitsi letsi, ""Sisonkhe Sichubekisela iNingizimu Afrika Embili: Likusasa Letfu",Government s fifth National Imbizo Focus Week which was held from 7 to 13 November 2016 under the theme,0.7456759
"[ 0.08735885 -0.8951837  -0.6654532  ... -0.14390133  0.15128629
  0.50132823]","[-1.0040085e-03 -2.2997109e-03 -6.8903937e-05 ...  8.4605496e-03
  1.6797474e-02  3.5680175e-02]",lente liphumelele,Together we move South Africa forward: Our future,0.39288986
"[ 0.4683368  -0.0331147  -0.04850074 ...  1.1719644   0.31856245
  0.98658776]",[0.04863844 0.00207185 0.00928545 ... 0.04594396 0.03669113 0.01497707],kubonakale bantfu baseNingizimu Afrika bachumana nahulumende ngemfutf Lesikhatsi sekucocisana lokujulile sidlala indzima kutakhamuti letinelwati naletingahlali nje; Lokuliphuzu lelimcoka ekwetfuleni Luhlelo Lwekutfutfukiswa Lwavelonkhe,"saw South Africans actively engaging with governmen This period of intense interaction further contributes to an informed and active citizenry; a critical element in delivering the National Development Plan (NDP) Vision 2030.President Jacob Zuma initiated the week during an Imbizo at Marhulana Primary School in Tembisa, Gauteng where a fully equipped computer laboratory was handed ove.",0.76470196
"[ 1.3037645  -0.07837475  0.13234639 ...  0.2434036   1.2352576
  1.2406607 ]","[ 0.02979041  0.00014817 -0.00025259 ...  0.00361476  0.04957804
  0.03072228]",(i-NDP) Umbononchanti 2030.Mengameli Jacob Zuma wacala leliviki Lembizo esikolweni semabanga laphasi iMarhulana Primary lesiseTembisa eGauteng lapho indzawo yabongcondvomshini lenako konkhe yaniketwa lesikol.,Brad Binder who capped off his title-winning Moto3 campaign with victory in the season finale at Valencia racing circuit in Spai.,0.75836307
"[ 0.5486192  -0.18761234  0.05928733 ...  0.46504548  0.86628616
  2.1608117 ]",[0.01151662 0.00074365 0.00241421 ... 0.01145768 0.01949743 0.04953528],"Kuvulwa kwemgwaco kanye nelibhuloho laseSwartkopfontein emkhatsini weNingizimu Afrika neBotswana kuvule sehluko lesisha ekuchumaniseni iminyele yaseNingizimu Afrika eSwartkopfontein nemnyele waseBotswana egedeni laseRamotsw Lomgwaco lolungisiwe kanye nelibhuloho, lokutjalwe imali letigidzi letinge-R7kudale imisebenti yalabasebenta ngalokugcwele labange-51 kulesikhatsi senkontileka yetinyanga letinge-23, tisebenti letitsatfwe kuwo omabili lamav.","The opening of the Swartkopfontein road and bridge between South Africa and Botswana unlocks a new chapter in linking the South African border posts at Swartkopfontein to Botswana s border post at Ramotsw The upgraded road and bridge infrastructure, at an investment of R7million resulted in 51 full time jobs being created over the 23-month contract period, with labour sourced from both countrie.",0.91435087
"[ 0.8151324  -0.1976246   0.43026206 ...  1.163345    1.1215197
  1.5560664 ]","[ 2.2522466e-02  6.2236380e-02 -9.0104353e-05 ...  2.6499623e-02
  4.8396334e-02  2.9143412e-02]","Kuvusetelwa Kweluhlelo Lwemapaki Etimboni, ngaphasi kweNdvuna Yetekuhwebelana Netimboni, Rob Davies kuvula imisebenti emalokishini kanye nasemimangweni yasetindzaweni tasemaphandlen Loluhlelo lwacala kusebenta ngenca yekuphendvula sicelo lesentiwa nguMengameli Jacob Zuma kutsi kwentiwe letindzawo tibe tetimboni ngalokuphelele kanye nekukhula lokufaka konkhe emkhatsini waletinye tintf Litiko Letekuhwebelana Netimboni kute kube ngunyalo lutjale imali letigidzi letinge-R2ekuvuseteleleni Ipaki Yetimboni yaseKoman Ngesikhatsi sesigaba sekucala saloluhlelo, emabhizinisi lamancane","Cabinet welcomed the successful conclusion of the 3rd Session of the Bi-National Commission between Botswana and South Africa led by President Jacob Zuma and his counterpart President Seretse Khama Ian Khama to further deepen economic cooperation between the two countrieFast tracking work on the Lesotho Highlands Water Transfer Project, implementation of the Southern African Development Community (SADC) Industrialisation Strategy and Regional Indicative Strategic Development Plan to create regional value chains and manufacturing capacities, and cooperation in border management to combat cross-border crimes such as rhino and elephant poaching, were among the areas exploreSouth Africa reaffirmed its support for the SADC candidate for the post of the AU Commission Chairperson, Honourable D Pelonomi Venson-Moitoi, the Minister of International Affairs and Cooperation of the Republic of Botswan.",0.80904156
[0.66827476 0.01287382 0.53959095 ... 0.5127636  0.76559526 0.70288855],"[ 0.01728699 -0.00093336  0.00167139 ...  0.01048597  0.0384079
  0.02713961]","nalasemkhatsini lasikhombisa akhetfwa njengetinkontileka letincane kusamba setigidzi le-R Tisebenti tendzawo letinge-71 tacashwa, kwatsi",South African gold medalist Wayde van Niekerk who was named male athlete of the Olympic Games by the Association of National Olympic Committee s Awards which were held in Doh.,0.71781117
"[ 0.589912   -0.15736401  4.6813107  ...  0.7214519   0.9538753
  1.0588231 ]","[ 0.02279597 -0.00122777  0.00380307 ...  0.01123929  0.05179724
  0.04482326]","letinge-63% tato kwaba lushLuhlelo Lwabosotimboni Labamnyama, lokuhloswe ngalo kwandzisa labadlala indzima kumkhakha wetekwakha tintfo, kute kube ngunyalo selusekele Bosotimboni Labamnyama labange-22 kwaphindze futsi kwadaleka imisebenti le-1500.","The South African flyer crossed for 66 tries in 10 events in the 2015-16 series - the second-highest in the 17-year history of the series, this is an inspiration to young rugby player This is also the second year in a row that a South African has won the awar.",0.735542
"[ 0.47190726 -0.3812789  -0.3129896  ...  0.33827808  0.46706402
  0.2831141 ]","[ 0.03108909 -0.00120175  0.00023381 ...  0.01885766  0.01117075
  0.00906025]",Kufakwe tigidzigidzi leti-Rkusekela labosotimbon.,The findings of the recent Institute of Race Relations report:,0.48947924
[0.77268505 0.30677423 0.26029706 ... 0.88280463 1.3841437  1.1033072 ],[0.02049293 0.00096709 0.00216005 ... 0.03103492 0.02511194 0.03236084],"Liviki Lemhlaba Wonkhe Letemabhizinisi (i-GEW) letfulwe lapha eJozi ngaLesihlanu lowengcile Lisekelamengameli, Cyril Ramaphosa, asekelwa yiNdvuna Lindiwe Zul Litawucala mhla ti-14 kuya kumhla tinge-20 Lweti 2016, futsi lingumhlangano lomkhulu wabosomabhizinisi kanye newalabacabanga lokusha labaletsa imicondvo kutsi isebente, kugcugcutela kukhula kwemnotfo kanye nekwenta ncono intfutfuko kutenhlalo netemnotf IKhabhinethi iyababonga balingani betebhizinisi kanye nebetenhlalo ngekutsi baletsa i-GEW lapha eNingizimu Afrik Labalingani ngulaba:Hulumende Wesifundza saseGauteng, lidolobhakati laseJozi, bakaHollard, bakaMicrosoft, i-IDC, i-SABS, i-SAB, i-SEA Africa, Inhlangano Yemhlaba Wonkhe Yetemabhizinisi kanye neKauffman Foundatio Imicimbi yebalingani lengetulu kwe-80 itawubanjwa ngalesikhats I-GEW itawulandzelwa nguKhongolose Wemhlaba Wonkhe Wetemabhizinisi (i-GEC) letawubanjelwa kwekucala lapha kulelivekati lase-Afrika lapha eJozi ngeNdlovulenkhulu 2017, lapho kulindzeleke khona titfunywa letingetulu kwetit-5 000 letivela emaveni la-1616.","and is being sustained through a year-long approach in working continuously with communitiePresident Jacob Zuma will on 25 November 2016 launch the National Dialogues which will see District Municipalities convene dialogues throughout the yea The dialogues will incorporate skills development and empowerment for communities, especially for women, as well as service delivery improvement in terms of access to justice and counselling and health service All South Africans have a duty to be active participants in the fight against violence against women and child abus International Relations and Cooperation Minister Maite Nkoana-Mashabane and the Minister of Natural Resources and Environment of the Russian Federation, Mr Sergey Donskoy, will co-chair the 14th Session of the Joint Intergovernmental Committee on Trade and Economic Cooperation (ITEC) between South Africa and the Russia on Friday, 18 November 2016, in PretoriThis session is expected to agree on specific plans of action to expedite implementation of existing commitments within all the sectors of ITEC, including trade, investment and banking; mineral resources; energy; agriculture, forestry and fisheries; transport; science, technology and space; water resources; and education and justic Deputy President Cyril Ramaphosa will lead a delegation of ministers and non-governmental stakeholders on 19 November 2016 to the Youth Career Development Expo at the Nkowankowa Stadium in the Greater Tzaneen Local Municipality, LimpopThe expo will provide career guidance and information on further education and training opportunities to learners who are in Grades 10 to 12, to unemployed youth, and to youth who have dropped out from high schoo The Youth Career Development Expo is part of government s work to advance young people, particularly their participation in the economy, so that they can take their rightful place in our societ Following the Local Government Elections, public participation in the governance of communities remains critical to influence municipal planning, in a manner which best addresses the needs of citizenThe Local Government Municipal Structures Act, 1998, requires amongst others municipalities to develop mechanisms to consult communities and community organisations in performing their functions and exercising their power These structures are commonly known as Ward Committees, and provide a vital link between Ward Councillors, the community and the municipalitIn the coming months Ward Committees will be elected to serve their communities and citizens must avail themselves to participate in these elections and to serve on these structureCabinet welcomed the successful and peaceful municipal ward by-elections held recently in six province South Africans have again demonstrated their commitment to political tolerance which is a testament to the maturity of our constitutional democrac The SA Sport Awards Ceremony 2016 will be held on 27 November 2016 at the Sand du Plessis Theatre, Mangaung, Free Stat Voting lines for the People s Choice Sports Star of the Year with its broadcast partner SABC Sport are open and will close on 27 November 2016 at 21h00.",0.84651566
"[ 0.42831394 -0.07586224  0.01185121 ...  1.2675972   0.8484157
  0.7038933 ]","[ 0.01242248  0.00034617 -0.00011674 ...  0.03350506  0.02372035
  0.00549145]","Indvuna Nomvula Mokonyane mhla ti-14 Lweti 2016 wetfule Sikhungomkhicito saseDrakenstein Sekuhlanta Emanti Langcolile wasendlulisela kuMasipala waseDrakenstein eNshonalanga Kap Linani lalomklamo lilinganiselwa ku-R 171 000 000 futsi loko kwente kutsi masipala wendzawo uzuze kanye nemmango ngekutsi kudaleke ematfuba ekutsi bantfu batfole sipiliyoni nekuceceshwa kutekwakha, kucasha bantfu bendzawo, kanye nekutfola tintfo tekwakha kubatfulitinsita bendzawo kanye nebakhiciti bendzawKunika ummango emanti layinsita lesisekelo kudlala indzima ekwenteni ncono lizinga lemanti eBerg River futsi kwehlisa lifutse lelibi lemanti ekunisel.",Minister Nomvula Mokonyane on 14 November 2016 launched the Drakenstein Waste Water Treatment Plant and handed it over to the Drakenstein Municipality in the Western Cap The project value is approximately R 171 000 000 and has benefited the local authority and community by providing experience and training in construction; recruitment of local people; and sourcing of materials from local suppliers and manufacturerThe provision of a basic water service to the community contributes to the improvement of the quality of water in the Berg River and alleviates the negative impact of poor quality irrigation wate.,0.8868805
[0.4641616  0.27748808 0.02218052 ... 1.0399932  0.8019351  1.0814989 ],[0.02237204 0.00822112 0.00250345 ... 0.00184629 0.02642783 0.02905939],"Emanti nekuhanjiswa kwendle tintfo letingumgogodla wentfutfuko lesimem Litiko Letemanti Nekuhanjiswa Kwendle licala Umkhankhaso Wekuhanjiswa Kwekungcola lotawuhlangana neLusuku Lwemhlaba Lwemthoyi mhla ti-19 Lweti 2016, lolutawusetjentiselwa kucaphelisa, kufundzisa kanye nekwenta imitamo yekucinisekisa kutsi wonkhe umuntfu uyafinyelela kutfola tinsita tekuhanjiswa kwekungcola letinesitfuntINingizimu Afrika itinikele kutsi iletse ngekushesha tinsita temanti nekuhanjiswa kwekungcola, kanye nekutsi ngaleyo ndlela kubuyiswe sitfunti ikakhulu salabo bantfu labavela emimangweni leyadlelelwa ematfuba esikhatsini lesendlulil Luhlelo Lwekucedza Emabhakede kuhloswe ngalo kulungisa lihlazo letindlu tangasese temabhakede lokusaseyindlela yekuhanjiswa kwekungcola etifundzeni letine, eMphumalanga Kapa, eFreyistata, eNyakatfo Nshonalanga kanye naseNyakatfo Kap Kute kube ngunyalo sekupheliswe linani lemabhakede la-25 091 kantsi kusasele emabhakede la-27 147 kutsi acedvw.","The conference was addressed by Minister of Telecommunications and Postal Services Dr Siyabonga Cwele and had over 350 speakerAfricaCom has become a broad platform in developing the digital economy in Africa for socio-economic development and empowerment in support of Africa s Agenda 2063 programm The conference attracts leaders of ICT, entrepreneurs and innovators from Africa and decision makers from over 140 countrie This year s conference focused on digital skills development, empowering women in technology, technology to tackle disabilities and supporting the African Tech Start-up Ecosyste This provided a vehicle to realise the objectives of the NDP in terms of digital transformation, economic development and social empowermen Cabinet is pleased that many students in higher education institutions across the country have responded positively to calls to save the 2016 academic programm A number of institutions have started their final year examinationWe encourage students to remain focused on completing their studies and allow the Commission into the Feasibility of Fee-Free Higher Education and Training to complete its worThe work undertaken through NEDLAC is acknowledged, where the National Treasury presented proposals on how we could realise free education for tertiary student A declaration will be finalised at the end of November 2016.The call by national church leaders and other faith leaders for solutions to the challenges in higher education are most welcom Their support in mediation, prayer and peace efforts, along with their call for the 2016 academic year to be successfully concluded are welcome Cabinet welcomes the Constitutional Court decision on the Electronic National Traffic Information System (eNATIS) which will now be administered by governmen We also noted the Constitutional Court Ruling that the application by Terry Crawford-Browne, to have the arms deal commission set aside, was not in the interest of justic The Seriti Commission of Inquiry that probed the 1999 multi-billion-rand deal found that there was no evidence that any of the contracts were tainted by evidence of corruption, fraud or irregularities, this report was released by President Jacob Zuma in April 2018.",0.83429146
"[ 0.5102089  -0.0877327  -0.13952777 ...  1.4004383   1.1993845
  1.12122   ]","[ 0.01965453  0.0026694  -0.00040762 ...  0.03896641  0.04304052
  0.00896324]",Kutfweswa ticu kwebantfu labasha kuloluhlelo lweminyaka lemine Lembutfo Wavelonkhe Welusha Lasetindzaweni Tasemaphandleni (i-NARYSEC) mhla ti-17 Lweti 2016 kwengeta tinhlelo nemitamo yahulumende yekudala imisebent Loluhlelo kisa emakhono elusha kanye nekutfola umsebenti lolusita ekuntjintjeni bantfu labasha etindzaweni tasemaphandleni bangabi ngulabafuna imisebenti kodvwa babe ngulabadala imisebent.,"The graduation of young people from the four-year National Rural Youth Corps (NARYSEC) programme on 17 November 2016 complements government's job creation programmes and initiative The programme, which was launched in 2010, is a youth skills development and employment programme that helps to transform young people in the rural areas from being job seekers to creators of job.",0.89684856
[0.505124   0.5858293  0.56787586 ... 0.9080139  0.42436928 2.2330713 ],"[ 0.01063567 -0.00120027  0.01484664 ...  0.0151124   0.00899186
  0.05878469]","Ingcungcutsela Yabomasipala Yeluhlelo Lolwenwetjiwe Lwemisebenti Yahulumende (i-EPWP) itawuchubeka kusukela mhla ti-15 kuya kumhla ti-17 Lweti 2016 ngaphasi kwengcikitsi letsi,",The Expanded Public Works Programme (EPWP) Municipal Summit is underway from 15 to 17 November 2016 under the theme,0.860764
