ts,en,src_text,trg_text,Cosine_Score
"[ 0.49093598 -0.03020056 -0.3431664  ...  0.6862522   0.25657648
  1.5569462 ]","[ 0.04058874 -0.00461902 -0.0001359  ...  0.03916005  0.05510585
  0.00482358]","Nawumbisi lowu wu antswisa Nawu wa Tindlu ta Miganga, 1996 (Nawu 28 wa 1996).",The Cheetah .b) The Sterling-silver crown and tickey coin series,0.550409
"[ 0.63674515  0.19581383 -0.32684517 ...  1.1069798   0.5837387
  1.79018   ]","[1.1054005e-02 6.2449477e-03 8.1552780e-06 ... 2.2604348e-02 4.3000663e-03
 1.6605323e-02]","Nawumbisi lowu wu ta tiyisa tindlela ta mafumelo ya xidimokirasi ta Nawu wa Tindlu ta Miganga lowu nga kona kumbe minhlangano ya vulawuri bya tindlu leyi nga kona leyi tirhaka ku hoxa ntihlo eka misava ya migang Nawumbisi lowu antswisiweke wu vulavula hi ku simekiwa ka Rhijisitara eka Ndzawulo ya Nhluvukiso wa Matikoxikaya na Antswiso wa Misava, ni ku tlhela wu hlamusela ntirho wa hofisi ley Loko Nawumbisi lowu wu pasisiwa tanihi nawu, wu ta tiyisa ku lawuriwa ka minhlangano ya mfumo ni ku tlakusa nseketelo wa Mfumo eka minhlangano ley Wu ta endla leswaku miganga yi fikelela, ku va ni vun wini na ku lawula tindlu hi ku tirhisa minhlangano ya vufambisi leyi hetisekeke ni ku va nawini naswona leyi seketelaka hi mfum Ku tivisiwa ka Nawumbisi wa Vulamuri bya Misava wa 2016.","The paper provides for a police service that is biased towards active citizenry and responds to the existing policing environmen It also provides for a South African Police Service and metro police that is accountable and professiona The White Paper also calls for the establishment of a National Police Board which, amongst other tasks, will be responsible for setting up the objective criteria for the recruitment, selection and appointment of new recruits in the police service Cabinet adopted the White Paper on Safety and Securit The White Paper, which has already been out for public consultation in February 2015, focuses on an integrated and developmental approach to safety beyond policin It seeks to guide on preventative safety measures for communitie The White Paper identifies all the relevant departments and community-based organisations that contribute to the safety of communitie",0.8213129
"[ 0.47385705  1.4348446  -0.06067329 ...  1.0021763   1.262548
  1.8322364 ]","[ 0.03281669  0.00431098 -0.00022666 ...  0.01299871  0.04128186
  0.05765868]","Tindlela ta vulamuri bya misava i xibye xa nkoka xo endla bindzu na matiko lama kumekeka ehandle ka tindzelekano ta tik Nawumbisi lowu wu ta antswisa vufikeleri bya vukorhokerhi bya vululami eka tikhamphani leti endlaka mabindzu ehandle ka tiko na tikhamphani ta matikomambe eAfrika-DzongNawumbisi lowu wu susa Nawu wo Tekela Enhlokweni ni ku Humelerisa Masagwadi ya Matikomambe, 1977 (Nawu 40 wa 1977) naswona wu antswisa Nawu wa Vuhlayiseki bya Mabindzu lowu nga kona sweswi, 1978 (Nawu 99 wa 1978).","Dolosse .The coin designs, together with their proclamations, will be printed in the Government Gazette, and will then be manufactured and sold through the normal channels Upcoming events President Zuma will between the 18 and 22 April 2016 undertake working visits to member states of the Southern Africa Custom Union (SACU) which include Namibia, Botswana, Lesotho and Swazilan The visits will enhance the important role that SACU plays in promoting regional integration and economic development of all its member The President will undertake a State Visit to the Islamic Republic of Iran on 23 and 24 April 2016 to strengthen political and economic engagements between the two countrie The President will lead the National Freedom Day celebrations on 27 April 2016 in Limpopo, Giyani Stadium under the theme:",0.7723571
"[ 0.40549803  0.09763559 -0.29272208 ...  0.6953135   0.8953394
  1.5074915 ]","[ 1.7149609e-02  9.1899298e-03 -8.5630229e-05 ...  3.6188416e-02
  3.2376360e-02  2.3452595e-02]","Nawumbisi lowu pimanyetiwaka wu lulamisa Nawu wa Modulu ya Vulamuri bya Mabindzu ya Misava, lowu amukeriweke hi Khomixini ya UN ya Nawu wa Vuxavisi bya Misav",Cabinet approved the draft Policy on the Customary Practice of Initiation in South Africa and approved for the Department of Traditional Affairs to commence drafting national legislation on initiatio The policy has already gone through an extensive public consultation process with relevant stakeholderThe policy provides guidelines that ensure the protection of the traditional custom of the annual initiation of young boys without compromising their safet This forms part of the steps that government is taking to reinforce appropriate and acceptable custom It restores an acceptable level of accountability to those that run initiation schools and parents that send their children to these school Cabinet approved the recommendations made by the Committee of Inquiry on the feasibility of trading in rhino horns as one of the options to preserve the country s rhino populatio The recommendations were endorsed by the Interdepartmental Technical Advisory Committee and the Inter-Ministerial Committee appointed to investigate the possibility of legalising commercial international trade in rhino horThe recommendations endorse South Africa s integrated strategic management approach to resolving the poaching of rhino and illegal trade in rhin The committee recommends that the current mode of keeping the country s stock levels be kept as opposed to the trading in rhino horn The country s strategic approach entails security; community empowerment; biological management; responsive legislative provisions that are effectively implemented and enforced; and demand managemen Cabinet approved the following 2016 commemorative coin designs:a) The National Geographic Coin Series,0.5913919
"[ 0.20558974  1.0737957  -0.31648076 ...  1.4053354   0.27502787
  0.54102725]","[ 0.01869158  0.02141707 -0.00011022 ...  0.01712918  0.02923885
  0.0310921 ]","Ku kandziyisiwa ka mpfapfarhuto wa Nawumbisi lowu Antswisiweke wa Nhlangano wa Vulavisisi bya Rixaka wa 2016 eka Gazete ya Mfumo leswaku mani na mani a nyika vonele ya yen Nawumbisi lowu wu antswisa Nawu wa Nhlangano wa Vulavisisi wa Rixaka, 1998 (Nawu 23 wa 1998).Nawumbisi lowu wu ta antswisa xiyimo xa Afrika-Dzonga eka timhaka ta nhluvukiso wa vulavisisi na vutumbuluxi hi ku tirhisa vufambisi bya vuhlanganisi bya sayense, na mphamelo wa switirhisiwa swa vulavisisi leswi antswisiweke ni ku fikeleleka naswona leswi hetisekeke, ringanaleke ni ku va na vun wWu ta tlhela wu antswisa vutihlamuleri na vuhetiseki bya nhluvukiso wa vulavisisi, mphamelo wa vutumbuluxi hi xikongomelo xo antswisa xiyimo xa vutomi bya maAfrika-Dzonga hi ku tirhisa tindlela to antswa ta vuhlanganisi bya swirhangana swa mfum 3.","Cabinet welcomes the appointment by President Zuma of Advocate Jan Lekhoa Mothibi, as the Head of the Special Investigating Unit, and wishes him all the best in his new responsibilities of combating corruption and maladministratio Cabinet conveys its heartfelt condolences to the Makwetu family and the Pan Africanist Congress on the passing of Mr Clarence Makwet Mr Makwetu will be remembered for his immense contribution and personal sacrifices to the liberation movement and the establishment of the new democratic South Afric The President declared a Special Provincial Official Funeral for the liberation struggle stalwar Cabinet conveys its heartfelt condolences to the Naidoo family on the passing of Mr Kumaran Naido Mr Naidoo was the Acting Director-General of the Department of Economic Developmen He previously served as the Chief Financial Officer of the Department of Trade and Industr Mr Naidoo has contributed immensely in financial management within the Public Servic Cabinet expressed its appreciation on the contribution made by Mr William Smith, who served as Cabinet Secretaria Mr Smith retired at the end of March after serving the Public Service for 27 year Cabinet wishes him well on his retirement The Cabinet was briefed about the Report of the Commission of Inquiry into Allegations of Fraud, Corruption, Impropriety or Irregularity in the Strategic Defence Procurement Package (Arms Procurement Commission) which was released by the President this morninThe Report has found no evidence of wrongdoing, bribery, fraud or corruption in the arms procurement process, As Government we welcome the findings of the Commissio We have been vindicated as we have stated over many years that there was no wrongdoing and that the procurement had been above boarWe trust that the findings will bring closure to this long drawn out matteWe join President Zuma in thanking Justice Willie Seriti and Judge Thekiso Musi, all the witnesses, including former President Thabo Mbeki, evidence leaders, legal teams, staff and those who contributed to making the work of the Commission a success AppointmentsAll appointments are subject to the verification of qualifications and the relevant clearanc Mr Siyabonga Gama as Group Executive and Mr Garry Pita as Group Chief Financial Officer of Transne Mr Lufuno",0.74815845
"[ 1.3162594  -0.10625386 -0.1302866  ...  1.0397694   0.9937594
  2.0516782 ]","[ 0.02501559  0.0024793  -0.00034395 ...  0.03493742  0.0388831
  0.03008287]",Swibohonkulu swa Khabinete Khabinete yi amukerile Papila ro Basa ra Pholis Mpfapfarhuto wa Papila ro Basa leri wu sunguriwile ku kandziyisiwa leswaku mani na mani a nyika vonele ra yena hi Nyenyankulu 2015.,roll (provide addresses) and register to vote during the 3 August poll Voters can also SMS their ID number to 32810 or call the contact centre on 0800 11 8000 to verify their statuRegistration secures your name on the voters,0.65160173
"[ 0.23621859  1.6810275  -0.01207823 ...  0.91840696  0.83057034
  0.6661918 ]",[0.01231765 0.00491425 0.00164887 ... 0.01557663 0.03332143 0.00597854],Papila leri ri vulavula hi vukorhokerhi bya maphorisa lebyi voyamelaka eka vaakatiko lava yimayimaka naswona ri langutanile na tipholisi leti nga konRi tlhela ri langutana na Vukorhokerhi bya Maphorisa ya Afrika-Dzonga na maphorisa ya le madorobeni lama nga na vutihlamuleri ni ku tirha hi ndlela ya xiphurofexinal,"united African continent that is peaceful, democratic, non-racial, non-sexist and prosperous, and which contributes to a just and equitable worl",0.66662
"[ 0.670648    1.6614761  -0.18046191 ...  1.056546    0.7227346
  0.80980337]","[ 0.04728422  0.00025505 -0.00010893 ...  0.01208232  0.04081677
  0.02285526]","Papila ro Basa ri tlhela ri vulavula hi ku tumbuluxiwa ka Bodo ya Maphorisa ya Rixaka leyi, ehenhla ka mintirho yin wana, yi nga ta va ni vutihlamuleri byo simeka swihlawulekisi swo kongoma swo navetisa, ku hlawula ni ku thola vanhu vantshwa eka vukorhokerhi bya maphoris",Construction Industry Development Boar Mr Andile Nongogo as the Chief Executive Officer of the Services Sector Education Training Authorit Non-executive members to the Cross-Border Road Transport Agency Board:a) Mr Raymond Dennis Baloyi;b) Ms Keitumetse Mahlangu;c) Ms Ignatia Dikeledi Sekonyela;d) Mr Mosoenyane Ramathe;e) Prof Jan Havenga; andf) Mr Lucky Lempiditse ThekishEnquiries:Liezil CerfCell: 076 778 2380,0.59266984
"[ 1.4272109   0.11960813 -0.19524167 ...  0.99061275  0.8446942
  0.87906367]","[ 0.01735946 -0.00034036 -0.00150947 ...  0.00638318  0.00736976
  0.00016602]","Khabinete yi amukerile Papila ro Basa ra Vuhlayiseki na Vusirheler Papila ro Basa leri ri kandziyisiweke ro sungula hi Nyenyenyani 2015 leswaku mani na mani a nyika vonele ra yena, ri vulavula hi ndlela ya vun we na nhluvukiso wa vuhlayiseki etimhakeni ta tipholis Ri lava ku nyika vuleteri hi tindlela ta vuhlayiseki emigangen Papila ro Basa ri humesela ehandle tindzawulo hinkwato leti nga fanela na minhlangano ya miganga leyi nga na xiave eka vuhlayiseki bya migang",Big Cats Initiative:,0.4523152
[0.80032456 0.3770742  0.07037079 ... 0.85879874 0.82286024 0.71277493],"[-0.00426443  0.00776344  0.00268661 ...  0.00920572  0.00626921
  0.00054984]",Khabinete yi pasisile mpfapfarhuto wa Pholisi ya Tindlela ta Ndhavuko wo ba Ngoma eAfrika-Dzonga ni ku pasisa leswaku Ndzawulo ya Timhaka ta Xintu yi sungula ku pfapfarhuta nawu wa rixaka wo ba ngom Sweswi pholisi leyi yi kandziyisiwile leswaku swiyenge leswi khumbhekaka swi kota ku nyika mavonele ya swon,South African inventions,0.46562666
"[ 0.32419652  0.31347045 -0.1348862  ...  1.0752687   0.48898554
  0.8068573 ]","[ 0.01048864 -0.00043838 -0.00022596 ...  0.00339315  0.00333882
 -0.00398146]","Pholisi leyi yi vulavula hi swiletelo leswi tiyisisaka vuhlayiseki bya ndhavuko wa ngoma wa vafana lavantsongo hi ndlela leyi nga voneleki ehansi vuhlayiseki bya von Leswi i xiphemu xa magoza lama mfumo wu nga ku ma tekeni ku tiyisisa mindhavuko leyi nga fanela naswona leyi amukelakak Yi vuyisela vutihlamuleri lebyi amukelakaka eka lava lawulaka swikolo swa ngoma na vatswari lava rhumelaka vana va vona eswikolweni lesw Khabinete yi pasisile swibumabumelo leswi endliweke hi Komiti ya Ndzavisiso hi mhaka ya ku endlaka ka vuxavisi bya timhondzo ta mhelembe tanihi hi yan wana ya magoza lama nga tekiwaka ku hlayisa timhelemb Swibumabumelo leswi swi amukeriwile hi Komiti ya Vutsundzuxi bya Xithekiniki ya Tindzawulo na Komiti ya Tindzawulo ta Vaholobye leti thoriweke ku lavisisa tindlela to xavisa timhondzo ta timhelembe hi xinaw Swibumabumelo leswi swi amukela tindlela ta vufambisi na vupulani ta Afrika-Dzonga to ololoxa ku yiviwa ka timhelembe na ku xavisiwa ka timhondzo ta swona hi tindlela leti ka riki enawin Komiti yi bumabumela leswaku tindlela leti tirhisiwa sweswi to hlayisa timhelembe ti yisiwa emahlweni, leswi hambanaka na miehleketo yo xavisa timhondzo ta timhelembTindlela na tipulani ta tiko ti vulavula hi vusirheleri; ku nyika miganga matimba; vufambisi bya ntivomiri wa swiharhi leswi; mphamelo wa milawu ya vutihlamuleri lowu humelerisiwaka hi vuhetiseki ni ku landzeleleka; na vufambisi bya ku laveka ka timhondzKhabinete yi pasisile swivumbeko swa mali ya maribye swo tlangela swa 2016:1 Serisi ya Mali ya Maribye ya Ntivotiko ya Rixaka",Together building better communities,0.373371
"[ 1.0927091  -0.26428604 -0.34730893 ...  0.28898713  0.752355
  0.04288748]","[ 0.03947571  0.01145295 -0.00013773 ...  0.00231108  0.01909634
 -0.00070337]",Mpfhumba ra Swimanga Leswikulu:,Nevhutalu,0.58121336
"[ 1.6667819  -0.11459348  0.06427231 ...  0.7829463   2.0071929
  0.31247208]","[ 0.00414614 -0.00444492  0.00647155 ...  0.00370472  0.0037002
  0.02707193]",Yingwe 2 Serisi ya mali ya malibye ya tiki na xidlodlo xa Xitelingi xa silivhere,6 March and 9,0.45237952
