tn,en,src_text,trg_text,Cosine_Score
"[ 0.7192257   0.5160573  -0.25454444 ...  0.80947566  1.3633032
  0.9343813 ]","[ 0.01863591 -0.00323495 -0.00040083 ...  0.03120885  0.02024233
  0.02280393]","Bafaladi, Ba ba boang le Batho ba ba Tserweng kwa Dinageng tsa Bobona: Go isa kwa Ditharabololong tse di Tshwarelelang go Batho bao ba Thopilweng ka Kgang mo Aforika .","Refugees, Returnees and Internally Displaced Persons: Towards Durable Solutions to Forced Displacement in Africa .",0.8831912
"[ 6.6634648e-02  1.6010754e-01 -1.3290111e-03 ...  1.6710596e+00
  1.5236920e+00  2.1601512e+00]","[ 0.01005695 -0.00149541  0.00081919 ...  0.03996757  0.03705359
  0.05850908]","Seno se neelane ka serala sa go lebelela le go rarabolola modi o o bakileng go thopa batho ka kgang mo Aforik Aforika Borwa e rometse Mafelo a Kgwebisano e e sa Duelelweng mo Kontinenteng ya Aforika (AfCFTA) ka nako ya samit Merero e go builweng ka yona e tsenyeletsa phetolo ya setheo le go newa matlotlo ga setheo sa kontinente; Kagiso le Pabalesego mo Kontinenteng; ditlhabololo tse di amanang le AfCFTA; le dipuisano tebang le tumelano ya tirisanyo e nt hwa magareng ga Aforika, Caribbean le dinaga tse di tlhabologang tsa Pacific le European Union morago ga-2024.","South Africa submitted its Instrument of Ratification of the Agreement on the African Continental Free Trade Area (AfCFTA) during the summi Issues deliberated on included the institutional reform and financing of the continental body; Peace and Security on the Continent; developments related to the AfCFTA; and negotiations for a new cooperation agreement between the African, Caribbean and Pacific developing countries and the European Union Post-2020.",0.86875844
"[ 1.1580707   0.15364005 -0.5086675  ...  1.5427792   1.7584654
  1.709815  ]","[ 2.5800042e-02 -8.3241075e-06  3.7557466e-04 ...  1.1996859e-02
  4.3653939e-02  2.1031938e-02]","Mo gare ga ngwaga ono, Moporesidente Ramaphosa gape go solofetswe a tla rwala marapo a monnasetilo wa kopano ya Komiti ya Ditlhogo tsa Dinaga le Dipuso ya Phetogo ya Maemo a Bosa (CAHOSCC).","During the course of this year, President Ramaphosa is also expected to take chairship of the meeting of the Committee of African Heads of State and Government on Climate Change (CAHOSCC).",0.865433
"[ 0.62758714  0.08456301 -0.28465837 ...  1.3952763   0.83776206
  1.0857406 ]","[ 2.5984824e-02 -7.2187599e-04 -2.8094326e-05 ...  4.5078807e-02
  4.1013815e-02  3.1375669e-02]","CAHOSCC e tlhomilwe ka 2009 ke Kopano ya AU ya Ditlhogo tsa Dinaga le Dipuso go etelela pele Maemo a a Tshwanang a Aforika ka ga Phetogo ya Maemo a Bosa le mo dipuisanong tsa lefatshe tsa phetogo ya maemo a bos Fa Moporesidente Ramaphosa a rwala marapo a monnasetilo, o tla dira mmogo le ditlhogo tse dingwe tsa naga go netefatsa go tsenngwa tirisong go go atlegileng ga Tumelano ya Paris e e botlhokwa go fokotsa le go itlwaetsa ditlamorago tsa phetogo ya maemo a bos Ka CAHOSCC, Aforika e tla dira kabo e e bonagalang go maiteko a lefatshe tebang le go dira gore go nne le khabono e e kwa tlase le tlhabololo e e mekamekanang le maemo a bosa Thuto e Kgolwane","When President Ramaphosa assumes chairship, he will work with other heads of state to ensure successful implementation of the landmark Paris Agreement to mitigate and adapt to the effects of climate chang Through CAHOSCC, Africa will make a significant contribution to the global effort for a low-carbon and climate resilient development Higher education",0.8202068
[1.4081738 0.2401582 0.2494719 ... 0.8464948 0.9038192 0.80383  ],"[ 0.04512656 -0.00014552 -0.00020992 ...  0.02315225  0.03205122
  0.00268896]","Kabinete e romela matshidiso go balosika le ditsala ba moithuti wa kwa Yunibesithi ya Thekenoloji ya Durban, Mlungisi Madonsel Go kgorelediwa ga dithuto le go tswalelwa ga ditheo tsa thuto e kgolwane, bogolosegolo kwa KwaZulu-Natal, eo e bakileng loso le le botlhoko la moithuti yo, ke tlhoba borok Kabinete e ikuela go batshameka karolo botlhe go rarabolola dintlha tseno ka kagis Naga ya rona e tlhoka ba wa ba ba rutegileng go nna le seabe mo kgolong ya ikonomi ya ron Puso, ka Lefapha la Thuto e Kgolwane le Katiso, le thusa ditheo tsa thuto e kgolwane fao di nang le dikgwetlh Tona ya Thuto e Kgolwane le Katiso Naledi Pandor le ena o laetse batsamsisi ba Sekema sa Thuso ya Matlole a Baithuti sa Boset haba go baya kwa godimo go neela baithuti dipoelo Go laola mogare wa bolwetse jwa tlhako le molomo (FMD) Mo go sireletseng boitekanelo jwa set haba, Kabinete e itumeletse tsibogelo le ditsenogare go efoga go anama ga leroborobo la mogare wa FMD kwa Kgaolong ya Vhembe, Limpop Lefapha la Temothuo, Dikgwa le Bodirelatlhapi, mmogo le Mokgatlho wa Nama e Khibidu le baamegi ba bangwe, ba dira mmogo go mekamekana le ntlha eno ka tsela e e tshwaraganetswen Thulaganyo ya moento e simolotse ka la bo 14 Ferikgong 2019, ka go entiwa ga dikgomo tse di leng kwa metseng e e amegileng, ga mmogo le tseo di leng mo mafelong a bokgakala jwa dikilomitara di le 20 ao a dikologileng metse e e amegilen Go fitlha ga jaana, palogotlhe ya dikgomo tse di entilweng ke go feta 10 000; di tshwailwe go di farologanya le tse dingwe Samiti ya Filimi ya Aforika Borwa","Cabinet extends condolences to the family and friends of the Durban University of Technology student, Mlungisi Madonsel The disruption of learning and closures of institutions of higher learning, especially in KwaZulu-Natal, which tragically led to the death of this student, are a cause for much concer Cabinet calls on all role-players to resolve issues in a peaceful manne Our country needs educated young speople to contribute to our developmen",0.86473775
[0.6097822  0.03638981 0.19453362 ... 1.5584109  1.6499317  2.405836  ],"[ 0.01494269 -0.00052612  0.0033599  ...  0.03575033  0.04975776
  0.0222789 ]","Intaseteri ya Difilimi ya Aforika Borwa ke kgale e lemogilwe jaaka setlhotlheletsi go kgolo ya ikonomi le tlhamo ya ditiro mo Aforika Borw Intaseteri ya botlhami le setso, bogolosegolo seketara ya difilimi, le yona e tshameka karolo e e botlhokwa mo go godiseng kgang ya Aforika Borwa le go nna le seabe go maiteko a kago ya set haba le mo go nneng seoposengw Go ikamagantswe le kgato eno, Kabinete e amogetse Samiti ya Difilimi ya Aforika Borwa ya ntlha, e e neng e tshwaretswe kwa Johannesburg go tloga ka la bo 4 go ya go la bo 5 Tlhakole 2019 ka fa tlase ga setlhogo:","Cabinet remains committed to steering our country towards the realization of Vision 2030 of the National Development Plan (NDP), the blueprint for eliminating poverty and reducing inequality and unemployment in the country by 203 African Mining Indaba South Africa successfully hosted the 25th annual Investing in Africa Mining Indaba, which is the world s largest gathering of mining stakeholders and decision-maker In pursuit of attracting investment in mining, this year s Indaba was held under the theme:",0.7832208
[0.65748614 0.08111331 0.28198424 ... 0.98672706 0.75500417 1.1040438 ],[0.01147125 0.00198044 0.00047129 ... 0.01974307 0.01865087 0.01543869],Phetogo le Boitshimoledi mo Intasetering ya Aforika Borwa ya Difilimi/Setshwantshomodumo le Phetogo ya Intaseteri e e ka ga Thekenoloji (4IR).,Transformation and innovation in the South African Film/Audio-Visual Industry and the Fourth Industrial Revolution (4IR).,0.8928905
"[-0.25648803 -0.66505635 -0.3400099  ... -0.4980803  -0.5081422
 -0.06913114]","[ 8.7442319e-04 -4.1145412e-04 -5.6701705e-05 ...  9.0625341e-04
  2.4541121e-03 -2.5821163e-03]",A re ipaakanyeditse phetogo?,Are we geared for change?,0.8330839
"[ 0.87655926  0.04378928 -0.23402187 ...  2.1902912   0.93469715
  2.1011236 ]","[ 0.01469272  0.00220866 -0.00022749 ...  0.04320952  0.00472235
  0.03342493]",Dipoelo tsa samiti di solofetswe go nna le seabe mo go tlhameng le go kgontsha tikologo ya intaseteri e e golang sentl Puso e nna e ntse e itlamile go neela diporojeke matlole ka Koporasi ya Tlhabololo ya Diintaseri (IDC) le dt Ditshwetso tsa Kabinete10.,The summit s outcomes are expected to contribute towards creating an enabling environment for the industry to thriv Government remains committed to funding projects through the Industrial Development Corporation and the dt,0.83831716
"[ 0.71180046  0.76339996 -0.18185937 ...  1.5072407   0.77489185
  1.5990949 ]",[0.0067291  0.00585031 0.00346744 ... 0.02689694 0.02174593 0.04054632],"Go nna Seoposengwe le Kago ya Set haba1 Le fa set haba sa rona se dirile go tlala seatla e sale 1994, magora a maitirelo a a ikaegileng ka lotso, boemo le dipharologano tsa setso di tswelela go nyatsa maiteko a ron Mo ntlheng eno, Kabinete e atlenegisitse Ntlhatebo ya Sepolotiki, eo e neelang letlhomeso la molao le pholisi go tshegetsa kgato ya go nna seoposengwe le ya kago ya set haba fa re tswelela re gatela peleJaaka le tlhagisitswe mo go NDP, letlhomeso leno le tla nna le seabe se segolo thata mo go tsenyeng tirisong maikaelelo a go aga","President Ramaphosa reflected on the progress made in the past yea Building on these successes, the President outlined this year s focus area These included the continuation of intervention measures to accelerate inclusive economic growth and create jobs; improve our education system and develop the skills for the future and step up the fight against corruption and state captur In the next week, Finance Minister Tito Mboweni will unpack the financial plan when he delivers his Budget Speec",0.77625525
"[ 0.78730774  0.7943236  -0.20904627 ...  1.4890887   1.661201
  2.393005  ]",[0.02595511 0.00090501 0.0068764  ... 0.00627698 0.04058107 0.01190867],set haba sa batho ba ba tshwaraganeng le seo e leng seoposengwe mme ga se fela maikaelelo a boset haba; gape ke mokgwa wa go fedisa bohuma Diseketara tsotlhe tsa set haba di rotloediwa go tshegetsa letlhomeso la pholisi ka go keteka dipharologanyo tsa rona le go aga set haba se se phimolang matsadi a letlotlo la bokoloniale le tlhaoleleLefapha la Botaki le Setso le tla tshwara Kopanokgothakgothe ka ga go nna Seoposengwe kwa mafelong a Mopitlwe 2019 kwa Johannesburg fao makala a a farologaneng a set haba,"Government, through the Department of Higher Education and Training, is assisting institutions of higher learning where there are challenge Higher Education and Training Minister Naledi Pandor has also directed National Student Financial Aid Scheme administrators to prioritise providing responses to all student queries Containment of foot-and-mouth disease (FMD) In safeguarding the health of the nation, Cabinet is pleased with the response and interventions to avoid spillage of the FMD outbreak in the Vhembe District, Limpop The Department of Agriculture, Forestry and Fisheries, along with the Red Meat Association and other stakeholders, are working to address the issue in an integrated manne",0.78287554
"[ 0.7870229  -0.02179909  0.05366958 ...  1.3110567   1.2967199
  3.7771091 ]","[ 0.01603292  0.00050576 -0.00033291 ...  0.02041479  0.0380889
  0.02659179]","go tsenyeletsa a mekgatlho ya baagi, mekgatlho ya badiri, mekgatlho ya kgwebo, mekgatlho ya barutegi le baitseanape, mekgatlho ya badumedi le bobegakgang - ba tla itlamang go porojeke ya kopano ya loago le kago ya set hab Dipuisano le makala di tla dirwa mo kgweding ya Tlhakole go fitlha fa gare ga kgwedi ya Mopitlwe 2019.",CAHOSCC was established in 2009 by the AU Assembly of Heads of State and Government to lead the African Common Position on Climate Change and in global climate change negotiation,0.66827106
"[ 0.6199352  -0.55620927 -0.77078    ... -0.13463314 -0.14070341
  0.7779962 ]","[-0.00190785 -0.00327878 -0.00050508 ...  0.00922778 -0.00853378
 -0.00182708]",Melaotlhomo11.,Cabinet decisions,0.43735987
"[ 0.4182421   0.20852458 -0.12925419 ...  1.2728586   0.49638885
  1.9265709 ]","[ 0.03008638 -0.00160073  0.06088234 ...  0.01756511  0.03697599
  0.00436428]","Kwalolose wa ya Molaotlhomo wa Bana wa 20191 Kabinete e atlenegisitse go romelwa kwa Palamenteng ga Molaotlhomo o o Kwalolotsweng Se wa wa Bana wa 2019 go matlafatsa tiro ya set haba sa rona mo go sireletseng ditshwanelo tsa banaKa 2017 Senthara ya Molao wa Bana e ne ya tshwarisa Lefapha la Tlhabololo ya Loago ka ga ditshalelo morago tsa botsadi tlhokomeloKgotlatshekelokgolo e ne ya laela Tona ya Tlhabololo ya Loago, gareng ga tse dingwe, go baakanya le go itsise fa pele ga Palamente dikarolo tse di botlhokwa tse di kwalolotsweng se wa mo Molaong wa Bana, 2005 (Molao wa bo 38 wa 2005) le/kgotsa Molao wa Thuso ya Loago, 2004 (Molao wa bo 13 wa 2004) go neelana ka tharabololo ya semolao e e feletseng go arabela dikgwetlho tsa botsadi tlhokomeloBana botlhe ba tshwanetse go itumelela phitlhelelo ya ditirelo tseo maikaelelo a tsone eleng go tsamaisa pabalesego, tlhokomelo le tshireletso ya bona; le tsamaiso e e nonofileng ya katlaatlelo loag Go na le ditlhokego di le dintsi mo tsamaisong ya tshireletso ya bana ya ga jaan Molaotlhomo ono o tla arabela, gareng ga tse dingwe, dikgwetlho tse di amanang le go tlhomiwa le tsamaiso ya botsadi tlhokomelo, le ditlhokomelo tse dingwe tsa bana tse di amanang le merero ya pabaleseg Ditiragalo tse di Tlang12.","State of the Nation Address (SoNA) Cabinet welcomes President Cyril Ramaphosa s 2019 SoNA, which marks 25 years since the first Joint Sitting of Parliament in the new democratic South Afric A majority of South Africans also welcomed the address, which continues to provide hope and renewa",0.715039
[0.8057316  0.15019028 0.31233406 ... 1.3366674  1.1815734  1.7251115 ],"[ 0.01075392 -0.00060772  0.00396353 ...  0.03887855  0.0316742
  0.04633268]","Samiti e e ka ga Ikonomi ya Dijithale1 Phetogo ya lefatshe go ya go thekenoloji e rotloeditse 4IR go tlisa dit hono tse dint hwa go aga set haba sa rona le ikonom Go nna re le kwa pele ga metseletsele e me wa ya thekenoloji, naga e tla tshwara Samiti ya Ikonomi ya Dijithale ka Mopitlwe 201 Samiti e tla tshwarelwa ka fa tlase ga setlhogo sa 4IR Aforika Borwa (4IRSA), kamano magareng ga Lefapha la Mafaratlhatlha a Ditlhaeletsano le Ditirelo tsa Poso, Yunibesithi ya Witwatersrand, Yunibesithi ya Johannesburg le Yunibesithi ya Fort Hare#4IRSA e ikaelela go samagana le dikgwetlho tse di lebaneng Aforika Borwa mo Nakong ya Dijithale gore e tle e bone tsibogelo e e tsepameng ebile e le ya botlhe go nag Dikabo tsa Bobegakgang tsa 2019 tsa Dinaga tsa Mokgatlho wa Tlhabololo ya Borwa jwa Aforika (SADC)1 Jaaka karolo ya go tsweletsa tsenogare ya kgaolo, tirisanommogo le temogo ya botswerere mo bobegakgang, bobegakgang jwa Aforika Borwa bo laleditswe go tsenela Dikabo tsa Bobegakgang tsa SADC tsa 2019 pele ga Tlhakole 2019.","South Africa s energy supply remains an absolute imperative and the current situation at Eskom poses significant risks to the country, its financial stability and the econom The strategic unbundling of Eskom into three separate wholly",0.7214572
"[ 0.9451142   0.13570286 -0.5088624  ...  0.4162299   0.7490006
  1.760457  ]","[ 0.00436828 -0.00190955 -0.00142738 ...  0.00274278  0.02196055
  0.04133106]","Dikabo di mo maphateng a kgatiso, radio, thelebi ene le bobegakgang ka ditshwantsh Melaetsa14.","Through the departmental budget votes, Ministers will unpack their operational plans that will give effect to the President s SoN",0.6152321
"[ 1.6934841   0.24797672 -0.10794723 ...  1.5856066   1.7072028
  2.8699734 ]","[ 0.02131018 -0.000814   -0.000152   ...  0.01177287  0.01686091
  0.02424281]","Matshidiso 1 Kabinete e ikamanya le Moporesidente Ramaphosa le maAforika Borwa otlhe ka go romela matshidiso go balosika le ditsala ba baithuti bao ba tlhokafetseng morago ga go welwa ke borogo ya maoto kwa Sekolong se Segolo sa Driehoek kwa Vanderbijlpark ka Labotlhano, la bo 1 Tlhakole 2019.",This provided a platform to reflect on and address the root causes of forced displacement in Afric,0.6199956
