xh,en,src_text,trg_text,Cosine_Score
"[ 0.36076593 -0.03479572  0.36707136 ...  0.95397025  0.8732302
  1.4191364 ]","[ 0.00432436 -0.00115411  0.07440235 ...  0.01864827  0.02749767
  0.04149932]","Ezamandla IKhabhinethi iyasamkela isibhengezo esenziweyo sokuba iCandelo 2 leZiko lokuPhehlo-mbane laseMedupi elikufutshane neLephalale eLimpopo sele lifikile kwinqanaba lokuphehla umbane onokuthengiswa kwaye sele lidityanisiwe neziko lesizwe lomban Oku kuza kugalela umbane ozimegawathi ezingama-796 kumthombo wombane wesizw IBhanki yoMhlaba ivakalise ukwaneliseka nokuwathemba amalinge enziwa ngurhulumente okuxhasa u-Esko Nangona siqhubekayo ngokumxhasa nokumnceda u-Eskom, iKhabhinethi ihlaba ikhwelo kubo bonke abemi boMzantsi Afrika ukuba baqhubeleke besebenzisa umbane ngobunono ingakumbi phakathi kwentsimbi yesi-17:00 neyama-21:00, xa abantu abaninzi emakhaya kweli lizwe besebenzisa kakhulu umbane Ulwaphulo-mthetho IKhabhinethi ivakalise umothuko nodano zindaba zokubulawa kwabantu abali-13 ePhillippi, eKapa kule mpelavek Sithi tutwini kwiintsapho nezihlobo zaba babuleweyo, abaquka abantu basetyhini abathandathu abaneminyaka yobudala ephakathi kweli-18 nengama-22.","The inputs received from this process have been incorporated into this latest version, which will be subjected to another rigorous parliamentary proces The Bill will give effect to the NDP that seeks to provide for universal quality healthcare services to all South Africans, irrespective of their socio-economic backgroun It will be based on values of justice, fairness and social solidarit It will address the current health system that serves only 16% of South Africans whilst excluding the overwhelming majorit The NHI Bill provides for the establishment of the NHI Fund as a public entity reporting to the Minister of Healt It will be established as an autonomous schedule 3A under the Public Finance Management Act, 1999 (Act 1 of 1999).",0.8353834
[0.82227445 1.3066316  0.04456417 ... 0.8800994  1.2609748  1.1988986 ],[0.00831421 0.01948539 0.00496018 ... 0.03062763 0.04970124 0.02886866],"IKhabhinethi ixelelwe ukuba kukho amanyathelo athathwayo ukuqinisekisa ukuba iyaphucululwa imeko yokhuselo nokhuseleko kulaa ndawo, kwaye icela abo banolwazi olunokukhokelela ekubanjweni kwabenzi bobubi ukuba baye kwisikhululo samapolisa esikufutshane nabo Ukuqhambuka kwesifo seehagu","Cabinet has been made aware of action being taken to strengthen safety and security in that area, and strongly appeals to members of the public with information that could lead to the arrest of these perpetrators, to contact their nearest police station Outbreak of African swine fever",0.85821146
[0.9101902  0.00979485 0.04755629 ... 1.3474846  1.6168146  0.7087949 ],"[ 0.02586562  0.00144378 -0.00019274 ...  0.0273684   0.0436607
  0.01068585]","IKhabhinethi iliqhwabela izandla iSebe lezoLimo, ukuBuyiswa koMhlaba noPhuhliso lwamaPhandle ngokuthatha amanyathelo akhawulezileyo okulwa ukuqhambuka kwesifo seehagu (i-swine fever) eMntla Ntshona, Gauteng naseMpumalang Amanyathelo okungenelela athathiweyo ancede enza esi sifo asanwenw Nangona isifo seehagu sase-Afrika singabachaphazeli abantu, nayiphina inyama okanye imveliso yenyama esuka kwiihagu ezinesi sifo ingazosulela ezinye iihag","Cabinet applauds the Department of Agriculture, Land Reform and Rural Development for responding swiftly to the outbreak of swine fever reported in North West, Gauteng, Free State and Mpumalang This has helped to contain the spread of the diseas Whilst the African swine fever does not affect humans, any meat and products from affected pigs can be a source of infection to other pig",0.88438904
[0.52499545 0.05583619 0.04730141 ... 0.79298604 0.76377136 1.0564086 ],"[ 0.03246456 -0.00026094 -0.00014911 ...  0.00748345  0.01190421
  0.01257068]","IKhabhinethi ibongoza amafama akwimimandla enesi sifo ukuba ahlale evule amehlo aze axelele abasemagunyeni xa ebona iimpawu zesi sifo ezihagwini zawo Ukhuseleko kumaziko ezempil IKhabhinethi ikugxininisile ukubaluleka kokhuseleko lwabasebenzi bezempilo nezigulan Oku kulandela iziganeko ezisanda kwenzeke kutsha nje zokuhlaselwa kwabasebenzi bee-ambulensi xa besiya kunika uncedo olungxamisekiley Ukususela ngenyanga yoMqungu 2010 kukho iziganeko ezili-10 zokuhlaselwa kwaba basebenzi ezixelwe kwabasemagunyeni, esona sisanda kwenzeka senzeke eCosmo City, Extension 2 eRhawutin IKhabhinethi icela ii-arhente zogcino-mthetho ezisebenzisana namaziko karhulumente ezempilo ukuba ziba ngathi ziyaluqinisa ukhuselo nokhuseleko kula maziko kwakunye nakwinqwelo ezithutha izigulan","Cabinet urges all farmers in the affected areas to remain vigilant and report any symptoms of the disease amongst their animals Safety in healthcare institutions Cabinet has expressed the importance of the safety of healthcare workers and patient This follows the recent reported incidences of attacks of medical emergency service workers when they responded to an emergency cal From January 2019, a total of 10 incidences of such attacks have been reported, the most recent being from Cosmo City Extension 2 in Johannesbur Cabinet calls on law-enforcement agencies working with the public health institutions to strengthen safety and security at these facilities and also in the transportation of patient",0.8849391
"[ 0.38799375  0.215951   -0.0931124  ...  0.9486972   0.7569089
  0.99899143]","[ 0.02503474 -0.00013717 -0.00013875 ...  0.02779897  0.01892581
  0.04206301]","IKhabhinethi ibongoza oonompilo ukuba nabo baziphathe kakuhle futhi bathobele imigaqo elawula umsebenzi wabo xa benika izigulana unyang Uhola wendlela waseRhawutini ohlawulelwa nge-intanethi (i-e-tolling)1 UMongameli Ramaphosa ugunyazise uMphathiswa wezoThutho uFikile Mbalula, uMphathiswa wezeziMali uTito Mboweni kunye neNkulumbuso yaseGauteng uDavid Makhura ukuba bafune isisombululo kule ngxaki yoohola bendlela baseGauteng abahlawulelwayoIindibano zikarhulumente zokubonisana eziza kubanjwa kwezi veki zizayo kulindeleke ukuba zize neziphumo ezibambekayo neziza kuba luncedo, eziza kuthi zingeniswe kwiKhabhinethi ekupheleni kwenyanga yeThuba ngowama-201 Urhulumente wonke kufuneka athethe ngazwi-nye kwimiba efana ne-e-tolling ukwenzela ukuba abemi boMzantsi Afrika bamthembe urhulumente kunye nendlela asebenza ngay Iintetho zevoti yoHlahlo Lwabiwo-mali1 Ngenyanga yeThuba yowama-2019, amasebe aza kuthi thaca iintetho zevoti yohlahlo lwabiwo-mali, eziza kunika iinkcukacha ezicacileyo nezibambekayo ngezicwangciso zezimali ezisabela kwizithembiso ezenziwe nguMongameli Ramaphosa ngethuba esenza iNtetho engoBume beSizwe (i-SoNA) yokuqala kulo mbuso ulawulwa ngentando yesininzi wonyulwe kulo nyakaIintetho zevoti yohlahlo lwabiwo-mali zinika iingcaciso ebanzi negcweleyo ngezicwangciso zalo nyaka singena kuwo zamasebe ahlukeneyo, ezithetha kanye nesiCwangciso-sikhokelo esiQiqisisiweyo sesiGaba esiPhakathi (i sowama-2019-2024 (i-2019-2024 MTSF)IKhabhinethi iyabakhuthaza abemi beli ukuba bazihlalutye futhi bazifunde ezi ntetho zevoti yohlahlo lwabiwo-mali futhi bawabuze imibuzo amasebe ngemisebenzi yaw Iintetho zevoti yohlahlo lwabiwo-mali ziqinisekisa ukuba imali karhulumente isetyenziswa kanye kwezi zinto urhulumente azikhokelisa phambili nazithatha njengezibalulekileyo kusenzelwa bonke abemi boMzantsi Afrik Izigqibo zeKhabhinethi1.","Cabinet also urges all healthcare workers to always uphold their professional standards towards patients in their car Gauteng freeway electronic tolling (e-tolling)1 President Ramaphosa has mandated Transport Minister Fikile Mbalula, Finance Minister Tito Mboweni and Gauteng Premier David Makhura to find a solution to the e-tolling on Gauteng freewaysThe consultations within government over the coming weeks are expected to produce workable outcomes, which will be submitted to Cabinet by the end of August 201 A united response across government is required on issues such as e-tolling to ensure South Africans have confidence in the work of governmen Budget votes1 During July 2019, departments are tabling their budget votes, which provide concrete financial plans on the commitments highlighted by President Ramaphosa in his first State of the Nation Address of the sixth democratic administrationThe budget votes provide a detailed account of departments",0.87658936
[0.74182063 0.17744228 0.13953948 ... 1.0313171  0.8380793  1.447813  ],"[ 0.00212137 -0.0009534   0.00050251 ...  0.03080528  0.02757584
  0.02538918]",IKhabhinethi ivumile ukuba kungeniswe kwiZizwe eziManyeneyo (i-UN) iNgxelo yoPhononongo yeSizwe Efakwa ngokuziThandel UMzantsi Afrika uyinxalenye yamazwe angama-193 angamalungu e-UN amkela ngokusesikweni iiNjongo zoPhuhliso oluZinzileyo (ii-SDG).,"In 2017, South Africa became one of the 51 countries that volunteered to submit their progress report to the U South Africa s National Development Plan (NDP), AU s Agenda 2063 and the UN s SDGs all mutually reinforce the developmental agenda of South Africa and the African continen The progress report was compiled in consultation with a number of stakeholders, including civil-society organisations, private sector and the academi The report further highlights areas that remain a challeng Once it has been submitted, it will be accessible through the UN website (https://wwuorg/en/).",0.7556399
[0.32167682 0.05568877 0.09710521 ... 1.62166    0.8432824  0.8400872 ],"[ 0.02859866 -0.00014616  0.00932513 ...  0.03638455  0.04606411
  0.05317724]","Ngowama-2017, uMzantsi Afrika waba lelinye lamazwe angama-51 avumayo ngokuzithandela ukungenisa ingxelo yenkqubo kwi-UN IsiCwangciso soPhuhliso seSizwe (i-NDP) soMzantsi Afrika, i-Ajenda yowama-20163 ye-AU kunye nee-SDG ze-UN zonke zigxininisa kuphuhliso eMzantsi Afrika nakwilizwekazi le-Afrika Ingxelo ngenkqubo yabhalwa emva kokuba kubekho ukufakana imilomo namahlakani amaninzi aquka imibutho yoluntu, icandelo labucala kunye nezifundisw Le ngxelo icacise nemiba eseyimingen Emva kokuba ingenisiwe, iza kufumaneka kwiwebhusayithi ye-UN ethi: https://wwuorg/en/ ImiThetho esaYilwayo 1.","He was also part of the Springbok team that won the 1995 Rugby World Cup on home soi Mama Betty Philile Khumalo-Zulu, who is the mother-in-law to the Deputy Minister of Social Development, Ms Hendrietta Bogopane-Zul The victims of the heavy monsoon rains in India, including the Indian Governmen Cabinet also wishes the injured a speedy recovery CongratulationsCabinet joined the rest of South Africa in congratulating: Our indomitable athlete Caster Semenya for her victory in the 800m at the Prefontaine Classic, in California, US Semenya, who is the two-time Olympic champion, remains unbeaten in the 800m since September 2012.",0.77824026
"[ 0.29530722  0.14013202 -0.20102842 ...  0.7999596   0.73070997
  1.2099817 ]","[ 0.02527918 -0.00039767  0.0092008  ...  0.01834199  0.02690142
  0.04606521]","IKhabhinethi iwuvumile uMthetho oYilwayo we-Inshorensi yezeMpilo yeSizwe (i-NHI) ukuba uthiwe thaca ePalament Ngowama-2018, iKhabhinethi yavuma ukuba lo Mthetho uYilwayo upapashwe isithuba esizinyanga ezintathu, ukusuka ngenyanga yeSilimela ukuya kweyoMsintsi 2018, ukuze uluntu luhlomle kuw Izimvo ezithunyelwe luluntu zifakiwe kule drafti ikhoyo yawo, nayo phofu eza kuphinda ihambe onke amanqanaba epalamente okuyicokisa nokuyibangula iziphen Lo Mthetho uYilwayo uzalisekisa i-NDP yona egxininisa ukuba bonke abemi boMzantsi Afrika kufuneka bafumane iinkonzo zezempilo ezisemgangathweni, kungajongwanga kufuma kwapokotho nandawo ahlala kuyo umnt Lo Mthetho uYilwayo usekelwe kubulungisa, imigaqo yokungacaluli, uvelwano nentsebenziswano phakathi kwabant Lo Mthetho uYilwayo uza kulungisa iingxaki ezikhoyo kule nkqubo yezempilo inikezelwa ngamaziko nezibhedlela zabucala ixhanyulwa ngabemi boMzantsi Afrika abali-16% kuphela, ibe ilushiya ngaphandle uninzi lwabantu beli Lo Mthetho uYilwayo we-NHI unika nethuba lokuba kumiselwe iNgxowa-mali ye-NHI (i-NHI Fund) njengequmrhu likarhulumente eliphantsi koMphathiswa wezeMpil Le Ngxowa-mali iza kusekwa njengequmrhu likarhulumente elizimeleyo elingushedyuli 3A phantsi komthetho wokulawulwa kwemali karhulumente, i-Public Finance Management Act, wowe-1999 (uMthetho 1 we-1999) Wakuba lo Mthetho uYilwayo uphunyeziwe, esi sicwangciso sikhoyo singekaqukunjelwa sokuqalisa i-NHI naso siza kwenziwa izilungiso ezifanelekileyo size sivulele ukuba kwenziwe amalungiselelo ethutyana okuqalisa i-NHI ngezigab Xa kuqaliswa i-NHI eminye imithetho iza kurhoxiswa ipheliswe ukulungiselela ukuba kubekho ukuhambelena nokulungelelana UMphathiswa wezeMpilo, uGq Zweli Mkhize, uza kubamba enye intlanganiso namajelo eendaba apho eza kunika iinkcukacha nengcaciso egcweleyo ngalo Mthetho uYilway Imisitho ezayo1.","Bafana Bafana for advancing to the quarterfinals of the African Cup of Nations in Egypt and wished them luck against Nigeri Amy Claire King, who was crowned the World Masters Singles champion at the prestigious World 8 Ball Pool Championships in Blackpool in the United Kingdo Tennis star Kgothatso Montjane, the first black South African woman debutante at Wimbledo She defeated Katharina Kruger of Germany in the quarterfinals of the ladies wheelchair single Montjane is ranked No 8 in the worl Kevin Anderson for reaching the men s singles third round and Raven Klaasen for reaching the men s doubles semi-final The group of 20 South African teenagers who made aviation history by building their own four-seater aircraf The team built the aircraft in two weeks under the guidance of The Airplane Factory, U-Dream mentors and five team leaders from Denel Aviatio The four-seater Sling 4 plane landed in Namibia, Malawi, Ethiopia, Zanzibar, Tanzania and Uganda during the 12 000km trip to Egypt, after it jetted off from Cape Town last mont 3.",0.8311591
"[ 0.86375916  0.72965753 -0.05808807 ...  1.1766473   0.7726678
  1.6318629 ]","[ 0.02398355 -0.00413669  0.00922113 ...  0.02809842  0.02229016
  0.06677236]","NgoLwesibini, umhla wama-23 kweyeKhala 2019 uMongameli Ramaphosa uza kukhokela igqiza likarhulumente eliza kube likwiNkomfa entsuku-mbini ethi ""Iminyana Engama-25 yeNkululeko - Le Minyaka Ingama-25 Izayo"" eza kubanjelwa kwiDyunivesiti yaseRhawutini (i-UJ).","Bills Cabinet approved the National Health Insurance (NHI) Bill of 2018 for tabling in Parliamen In 2018, Cabinet approved that the Bill be released for public consultation over a three-month period, from June to September 2018.",0.73149097
"[ 0.1342769   0.10975125 -0.32494175 ...  1.3425126   0.8975
  0.6256236 ]","[ 3.5571400e-02 -3.7422535e-05 -6.4512365e-05 ...  2.1289378e-02
  3.0658903e-02  7.0969373e-02]","UMongameli uza kwenza intetho yokuvula le nkomfa, ibanjwe ngentsebenziswano phakathi kweMapungubwe Institute for Strategic Reflection, i-UJ kunye ne-Ofisi kaMongameli Le nkomfa iza kuhlalutya le minyaka idlulileyo ingama-25 yenkululeko ize inike neengcebiso nezimvo ngezinto eziza kwenzeka ezinxulumene nophuhliso loMzantsi Afrika kule minyaka ingama-25 izay Iza kuzinyaswa zizifundiswa ezifunde zayityekeza, iinkokeli zikarhulumente kunye nabo baza kube bemele amahlakani ethu esisebenzisana nawo - amashishini, imibutho yabasebenzi, uluntu, ulutsha kunye nabafund Imiyalezo1.","Once the Bill has been passed, the existing draft implementation plan will be amended accordingly to give effect to the transitional arrangement of rolling out the NHI in phase The transition period will also allow for the repeal of certain pieces of legislation to enable alignment and coherenc The Minister of Health, Dr Zweli Mkhize, will hold a separate media briefing to unpack the Bil Upcoming events President Ramaphosa will on Tuesday, 23 July 2019 lead the government delegation to the two-day",0.7648671
[1.1848062  0.42503783 0.12532987 ... 0.74898916 1.2887739  1.0887002 ],[0.04152897 0.00223615 0.0010501  ... 0.03809656 0.02160111 0.03419663],"Amazwi ovelwanoIKhabhinethi malilale ngenxeba usapho nabahlobo: bakamakhwekhwetha wemisebenzi yobugcisa nowayewongwe ngeembasa ezininzi uMnu David Koloan Lo mzobi uhlonitshwa jikelele wayengomnye wamalungu aseka i-Bag Factory (ngaphambili eyasaziwa njenge-Fordsburg Artists' Studios) eyanceda ukuba amagcisa antsundu namhlophe akwazi ukusebenza kunye ngokuphathelelene nomsebenzi wawo, nangona imithetho yombusuo wocalululo yayikukhaba nje ok bakaMama Vivian Magdalene Sarah Daniel Ebeligqala futhi engumntu ongumzekelo owanikela ngako konke kwidabi lokulwa ucalucalul Iziphumo zokuzinikela kwakhe ziyabonaka kwimisebenzi ayishiye kwiindawo awafaka isandla kuzo kummandla waseKap balowo wayesakuba ngonozakuzaku, uGq Khorshed Ginwala, owayengomnye woonozakuzaku bokuqala boMzantsi Afrika okhulekileyo abangabantu basetyhini","CondolencesCabinet expressed condolences to the family and friends of: Multi-award winning veteran artist, Mr David Koloan The widely acclaimed painter was a founding member of the Bag Factory (previously the Fordsburg Artists",0.83921623
"[ 0.9507378  -0.11805261  0.28533694 ...  1.1286455   1.3711876
  2.0234241 ]","[ 0.01122821 -0.00414117  0.00447306 ...  0.01694002  0.02959272
  0.06691179]","futhi wayenguvulindlela kwidabi lokulwela inkululek bakaMnu Mandla Maseko, ebekulindeleke ukuba abe ngumntu oMnyama ongumntwana womgquba wokuqala ukuya emajukujukwin Ngowama-2014, uMnu Maseko waphuma phambili kukhuphiswano lwabantu abasisigidi waze wangomnye wabantu abangama-23 abathi baphumelela ithuba lokuba babe kwiqela eliza kuya emajukujukwini, uhambo olo belixhaswa ngemali yi-Axe Apollo Space Academ begqala lomdlali weqonga nemiboniso bhanya-bhanya uMama uNomhle Nkonyeni, olandulele eli Phakade eneminyaka engama-77.","13 people in Phillippi, in Cape Town, at the weeken We extend our heartfelt condolences to the loved ones of the victims, who included six women between the ages of 18 and 22.",0.69088924
"[ 0.85439175  0.31201628 -0.28079426 ...  1.1326681   1.2679613
  1.4942281 ]","[ 0.01949309 -0.00146004 -0.00139208 ...  0.02320586  0.00706722
  0.05561332]","UMongameli Ramaphosa usanda kumwonga ngembasa yesizwe i-Order of Ikhamanga ngenxa yegalelo nemisebenzi yakhe njengegcis I-Aggrey Road eNew Brighton eMpuma Koloni, apho wayekhulela khona, yatshintshwa igama yathiywa ngay Wayengumlinganiswa kwimidlalo efana no-Mzansi, Tsha Tsha, Igazi kunye nomdlalo oneziqendu ezimbalwa wowama-2007 othi: Society","Former Springbok wing James Small, who died at the age of 50.",0.67035764
"[ 0.5238848  -0.3556753  -0.48274064 ...  0.13142994  1.2481285
  0.4465115 ]","[ 0.06267528 -0.00249357 -0.0005024  ...  0.04176372  0.04958583
  0.01973132]",bakaMama uSusan Manana Matona,"the mother of the Secretary of the National Planning Commission, Mr Tseliso Matona",0.61479896
"[ 1.8732449  -0.07090027 -0.39397126 ...  1.5055809   0.9666897
  2.8463163 ]","[ 0.00221961  0.00468972 -0.00061991 ...  0.00154104  0.00375544
  0.02902156]","umama kaNobhala weKomishini yesiZwe yezoCwangciso (i-NPC), uMnu Tseliso Matona, osweleke eneminyaka engama-97.",who passed away at age 97.,0.6074216
"[ 1.0212218  -0.18453795 -0.35430312 ...  0.6880278   0.7474821
  1.8979518 ]",[0.02649139 0.00272114 0.00158898 ... 0.02573234 0.00538774 0.02701583],"Zalowo wayesaya kudlala ephikweni kuMabhokobhoko (i-Springboks) uJames Small, osutywe kukufa eneminyaka engama-50.","business, labour, community and youth, including the student communit Messages1.",0.61622465
[1.18539    0.22997949 0.0661254  ... 0.8852801  1.2669226  1.7323613 ],"[-0.00103356 -0.00200368  0.00368811 ...  0.01239013  0.01215963
  0.00970099]","Wayengomnye wabadlali kwiqela lamaBhokobhoko elaphumelela iNdebe yeHlabathi yeBhola yoMbhoxo yowe-1995 eyayibanjelwe kwel bakaMama uBetty Philile Khumalo-Zulu, ongumamazala kaSekela-Mphathiswa woPhuhliso loluNtu, Nksz Hendrietta Bogopane-Zul bamaxhoba ezichotho nezantyala-ntyala zemvula e-India, kuquka noRhulumente wase-Indi IKhabhinethi inqwenelela bonke abonzakeleyo ukuchacha ngokukhawuleza Amazwi okuvuyisanaIKhabhinethi nayo njengabemi boMzantsi Afrika ithi huntshu: kwimbaleki eyintshatsheli yenene uCaster Semenya ngokuphumelela umbaleko womgama ongama-800m ePrefontaine Classic, eCalifornia, e-US USemenya, obeyintshatsheli kwimidlalo yee-Olimpikhi izihlandlo ezibini, useyintshatsheli engabethwa mbaleki kumgama ongama-800m ukususela ngeyoMsintsi ngowama-2012.",(193) UN member states that officially adopted the Sustainable Development Goals (SDGs).,0.55736136
"[ 1.184262   -0.17442629 -0.18063517 ...  0.9814157   2.0221941
  1.3613222 ]","[-3.9312476e-04 -1.8486854e-03 -3.5799192e-05 ... -6.4297146e-03
  1.3883959e-02  9.2874630e-04]","kwiBafana Bafana ngokugqithela kwimidlalo yamaqela asibhozo okugqibela kwiMidlalo yeNdebe yamaZwe ase-Afrika (i-Afcon) ebanjelwe e-Egypt kwaye sibanqwenelela impumelelo kumdlalo wabo neNigeri ku-Amy Claire King, oyintshatsheli ye-World Masters Singles kwimidlalo ekudidi oluphezulu i-World 8 Ball Pool Championships ebanjelwe eBlackpool e-United Kingdo kumdlali ophambili wentenetya uKgothatso Montjane, ongumntu ontsundu woMzantsi Afrika oza kuqala ukudlala eWimbledo Ubethe uKatharina Kruger waseGermany kwimidlalo ephambi kweyandulela ephambi kweyamagqibela kankqoyi kumdlalo wabasetyhini abahamba ngesitulo esinamavili bedlala umntu eyedwa ngexesha (i-singles).",Conference at the University of Johannesburg (UJ).,0.5248965
"[ 0.67067885 -0.04465783  0.16020891 ...  0.6750581   1.095113
  1.4372299 ]","[-0.00307267 -0.00371979  0.00598917 ...  0.01020052  0.01478118
  0.02100128]","UMontjane ukwindawo yesibhozo kuluhlu lwehlabathi lwabadlali bentenety kuKevin Anderson ngokufikelela kumjikelo wesithathu kwimidlalo yamadoda adlala ngoononye kunye noRaven Klaasen ngokufikelela kwimidlalo eyandulela owamagqibela kankqoyi wamadoda adlala ezizib kwiqela lwabantwana boMzantsi Afrika abangama-20 abenze into eyimbali kwezophapho ngokwakha ngokwabo inqwelo-moya ekhwela abantu aban Aba bantwana bakhe le nqwelo-moya ngesithuba esiziveki ezimbini bephantsi kwesandla se-The Airplane Factory, i-U-Dream kunye nezikhulu ezihlanu ezivela kwa-Denel Aviatio Le nqwelo-moya ikhwela abantu abane ibizwa ngokuba si-Sling imise eNamibia, Malawi, Ethiopia, Zanzibar, Tanzania nase-Uganda ngethuba ikuhambo oluzikhilomitha ezingama-12 000 oluya e-Egypt, emva kokusuka eKapa kule nyanga ipheliley IzikhundlaZonke izikhundla zixhomekeke ekuqinisekisweni kwamabakala ezemfundo nokuqinisekiswa okufanelekileyo kwezokhuselo IBhodi yethutyana yabaLawuli yeQumrhu loPhuhliso lwamaShishini (i-PIC) eza kuqala ukusebenza ngomhla we-12 kweyeKhala 2019 ukuya kumhla wama-31 kweyeKhala 2020.",South Africa is amongst the hundred and ninety-three,0.48723158
"[ 1.1193     -0.08555184 -0.2722403  ...  0.94469666  0.9600319
  0.7783075 ]","[ 2.0218941e-03  4.8297548e-05 -1.6892428e-03 ... -8.7214186e-04
  3.9420803e-03  3.3922119e-03]",Amagama amalungu ale Bhodi akhutshwe nguNondyebo weSizwe izolImibuzo:Nksz Phumla Williams,25 Years of Democracy,0.5013786
"[ 0.69549465 -0.04936052 -0.3539977  ...  0.75614274 -0.19528656
  1.7930233 ]","[ 0.00050746 -0.00175584 -0.0008133  ...  0.00341804  0.00167897
  0.010333  ]",uMlawuli Jikelel oliBambela (GCIS)Iselula: 083 501 0139,The Next 25 Years,0.4071698
